,conference,year,title,id,authors,tags,notes
0,icse/icse,2017,Semantically enhanced software traceability using deep learning techniques.,conf/icse/0004CC17,"Jin Guo, Jinghui Cheng, Jane Cleland-Huang",Traceability,
1,icse/icse,2017,Can latent topics in source code predict missing architectural tactics?,conf/icse/GopalakrishnanS17,"Raghuram Gopalakrishnan, Palak Sharma, Mehdi Mirakhorli, Matthias Galster",Traceability,
2,icse/icse,2017,Analyzing APIs documentation and code to detect directive defects.,conf/icse/ZhouGCHPG17,"Yu Zhou, Ruihang Gu, Taolue Chen, Zhiqiu Huang, Sebastiano Panichella, Harald C. Gall",Documentation,
3,icse/icse,2017,An unsupervised approach for discovering relevant tutorial fragments for APIs.,conf/icse/JiangZRZ17,"He Jiang, Jingxuan Zhang, Zhilei Ren, Tao Zhang",Documentation,
4,icse/icse,2017,Detecting user story information in developer-client conversations to generate extractive summaries.,conf/icse/RodegheroJAM17,"Paige Rodeghero, Siyuan Jiang, Ameer Armaly, Collin McMillan",Documentation,
5,icse/icse,2017,Clone refactoring with lambda expressions.,conf/icse/TsantalisMR17,"Nikolaos Tsantalis, Davood Mazinanian, Shahriar Rostami",Refactoring,
6,icse/icse,2017,Characterizing and detecting anti-patterns in the logging code.,conf/icse/ChenJ17,"Boyuan Chen, Zhen Ming (Jack) Jiang",Refactoring,
7,icse/icse,2017,Automated refactoring of legacy Java software to default methods.,conf/icse/KhatchadourianM17,"Raffi Khatchadourian, Hidehiko Masuhara",Refactoring,
8,icse/icse,2017,Supporting software developers with a holistic recommender system.,conf/icse/PonzanelliSBMOP17,"Luca Ponzanelli, Simone Scalabrino, Gabriele Bavota, Andrea Mocci, Rocco Oliveto, Massimiliano Di Penta, Michele Lanza",Recommendation systems,
9,icse/icse,2017,Recommending and localizing change requests for mobile apps based on user reviews.,conf/icse/PalombaSCPGFL17,"Fabio Palomba, Pasquale Salza, Adelina Ciurumelea, Sebastiano Panichella, Harald C. Gall, Filomena Ferrucci, Andrea De Lucia",Recommendation systems,
